sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid,a
-1,0.6538461538461539,-1,-1,0.0,0.0,0.0,0.0,-1,-1,0.0,-1,0,0
-1,0.20512820512820512,-2,-2,0.0,0.0,0.0,0.0,-1,-2,0.2222222222222222,-1,1,0
-1,0.07692307692307693,-3,-2,0.0,0.0,0.058823529411764705,0.10526315789473684,-1,-3,0.3333333333333333,-1,1,0
-1,0.0641025641025641,-3,-2,0.0,0.07692307692307693,0.0,0.02631578947368421,-1,-4,0.7777777777777778,-2,0,0
-1,0.32051282051282054,-2,-1,0.0,0.0,0.0,0.05263157894736842,-1,-5,0.0,-1,0,0
-1,0.3333333333333333,-2,-1,0.0,0.0,0.0,0.0,-2,-6,0.0,-1,0,0
-1,0.2948717948717949,-2,-3,0.0,0.0,0.0,0.3684210526315789,-1,-7,0.5555555555555556,-3,1,1
-1,0.32051282051282054,-2,-1,0.0,0.0,0.0,0.07894736842105263,-1,-5,0.3333333333333333,-1,0,0
-2,0.2692307692307692,-2,-3,0.0,0.0,0.0,0.0,-2,-6,0.0,-1,0,1
-1,0.038461538461538464,-3,-3,0.0,0.0,0.0,0.02631578947368421,-1,-8,0.2222222222222222,-1,1,1
-1,0.11538461538461539,-2,-3,0.0,0.0,0.0,0.0,-1,-9,0.3333333333333333,-1,0,1
-1,0.0641025641025641,-3,-2,0.0,0.0,0.0,0.07894736842105263,-2,-6,0.5555555555555556,-3,1,0
-2,0.24358974358974358,-2,-3,0.0,0.0,0.0,0.0,-2,-6,0.0,-1,0,1
-1,0.2948717948717949,-2,-2,0.0,0.0,0.0,0.0,-1,-10,0.3333333333333333,-1,0,0
-2,0.3717948717948718,-1,-3,0.0,0.0,0.0,0.02631578947368421,-1,-5,0.0,-1,1,1
-1,0.16666666666666666,-2,-2,0.0,0.0,0.0,0.18421052631578946,-1,-11,0.2222222222222222,-1,1,0
-1,0.24358974358974358,-2,-4,0.0,0.0,0.0,0.0,-2,-6,0.0,-1,0,0
-1,0.08974358974358974,-2,-2,0.0,0.0,0.0,0.07894736842105263,-1,-12,1.0,-2,0,0
-1,0.16666666666666666,-2,-3,0.0,0.0,0.0,0.15789473684210525,-1,-13,0.4444444444444444,-3,1,1
-1,0.16666666666666666,-2,-3,0.0,0.0,0.0,0.13157894736842105,-1,-14,0.2222222222222222,-1,1,1
-1,0.5897435897435898,-1,-2,0.0,0.0,0.0,0.34210526315789475,-1,-5,0.5555555555555556,-3,1,0
-1,0.038461538461538464,-3,-2,0.0,0.0,0.0,0.02631578947368421,-1,-15,0.8888888888888888,-2,1,0
-1,0.11538461538461539,-2,-3,0.0,0.0,0.0,0.0,-2,-16,0.1111111111111111,-1,1,1
-2,0.038461538461538464,-3,-3,0.0,0.0,0.0,0.0,-1,-17,0.3333333333333333,-1,0,1
-1,0.07692307692307693,-3,-4,0.0,0.0,0.0,0.02631578947368421,-1,-18,0.3333333333333333,-1,1,0
-1,0.32051282051282054,-2,-3,0.0,0.0,0.0,0.02631578947368421,-2,-19,0.0,-1,0,1
-1,0.1794871794871795,-2,-1,0.0,0.0,0.0,0.0,-2,-6,0.2222222222222222,-1,0,0
-1,0.11538461538461539,-2,-2,0.0,0.0,0.0,0.21052631578947367,-1,-20,0.2222222222222222,-1,1,0
-2,0.23076923076923078,-2,-3,0.0,0.0,0.0,0.07894736842105263,-1,-5,0.2222222222222222,-1,0,1
-1,0.10256410256410256,-2,-2,0.0,0.0,0.058823529411764705,0.13157894736842105,-1,-21,0.6666666666666666,-3,1,0
-1,0.19230769230769232,-2,-2,0.0,0.0,0.0,0.0,-1,-22,1.0,-2,1,0
