age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year,a
0.3013698630136986,-1,0.04333771149798496,-1,0.8,-1,-1,-1,-1,-1,0.021740217402174022,0.0,0.3979591836734694,-1,0,1
0.4520547945205479,-2,0.047277379845214206,-1,0.8,-2,-2,-2,-1,-1,0.0,0.0,0.12244897959183673,-1,0,1
0.2876712328767123,-3,0.1372439045614493,-2,0.5333333333333333,-3,-3,-1,-1,-1,0.0,0.0,0.3979591836734694,-1,0,1
0.4931506849315068,-3,0.15021183790457232,-3,0.4,-2,-3,-2,-2,-1,0.0,0.0,0.3979591836734694,-1,0,0
0.1506849315068493,-3,0.22070300815263205,-1,0.8,-2,-4,-3,-2,-2,0.0,0.0,0.3979591836734694,-2,0,0
0.273972602739726,-3,0.1841093018323027,-4,0.8666666666666667,-2,-2,-3,-1,-2,0.0,0.0,0.3979591836734694,-1,0,1
0.4383561643835616,-3,0.09954070061511854,-5,0.26666666666666666,-4,-5,-1,-2,-2,0.0,0.0,0.15306122448979592,-3,0,0
0.4794520547945205,-2,0.13316214981481178,-2,0.5333333333333333,-2,-2,-2,-1,-1,0.0,0.0,0.4489795918367347,-1,1,1
0.1917808219178082,-3,0.02176301348257164,-4,0.8666666666666667,-1,-4,-1,-1,-2,0.14084140841408413,0.0,0.5,-1,1,1
0.3424657534246575,-3,0.09903897926218408,-1,0.8,-2,-2,-2,-1,-1,0.051780517805178054,0.0,0.3979591836734694,-1,1,1
0.273972602739726,-3,0.18130972387649769,-6,0.6,-2,-2,-2,-2,-1,0.0,0.0,0.8061224489795918,-1,1,0
0.1780821917808219,-1,0.08669853752984494,-1,0.8,-2,-4,-2,-3,-1,0.0,0.0,0.3979591836734694,-4,1,0
0.0821917808219178,-3,0.07376459614830284,-1,0.8,-1,-1,-4,-1,-2,0.0,0.0,0.29591836734693877,-1,0,1
0.2054794520547945,-3,0.13001925304703943,-7,0.7333333333333333,-1,-6,-1,-2,-1,0.0,0.0,0.5,-1,0,0
0.2328767123287671,-3,0.15753098707217716,-8,0.2,-2,-7,-2,-4,-1,0.0,0.0,0.4489795918367347,-5,0,0
0.1095890410958904,-2,0.11080495684380558,-2,0.5333333333333333,-1,-8,-4,-1,-1,0.0,0.0,0.3469387755102041,-1,0,1
0.2054794520547945,-3,0.1176495782277407,-2,0.5333333333333333,-1,-9,-5,-1,-1,0.0,0.0,0.3979591836734694,-1,0,1
0.2876712328767123,-3,0.010277809503608586,-3,0.4,-2,-6,-2,-1,-1,0.0,0.0,0.5,-1,0,1
0.3561643835616438,-2,0.18927132111798203,-4,0.8666666666666667,-3,-2,-5,-1,-2,0.0,0.0,0.4489795918367347,-1,1,1
0.3150684931506849,-3,0.1222045010795847,-9,1.0,-2,-4,-2,-1,-1,0.0,0.0,0.6020408163265306,-1,1,1
0.5068493150684932,-3,0.19604999809645016,-2,0.5333333333333333,-5,-5,-5,-2,-2,0.0,0.0,0.19387755102040816,-1,0,0
0.2465753424657534,-4,0.042881539373568936,-5,0.26666666666666666,-2,-8,-2,-2,-1,0.0,0.0,0.3979591836734694,-1,0,0
0.3561643835616438,-3,0.07020563777077997,-3,0.4,-2,-7,-2,-1,-1,0.0,0.4687786960514233,0.3979591836734694,-1,0,1
0.5753424657534246,-3,0.0647519674547363,-2,0.5333333333333333,-3,-10,-5,-1,-2,0.0,0.0,0.3979591836734694,-1,0,1
0.5342465753424658,-5,0.13806311083554962,-1,0.8,-2,-10,-2,-1,-1,0.0,0.0,0.3979591836734694,-1,1,1
0.0273972602739726,-3,0.10505215726584977,-2,0.5333333333333333,-1,-11,-4,-1,-1,0.0,0.0,0.3979591836734694,-1,0,1
